,Concept_ID,myv,ba
621,schmutzig::A,ливезев,бысраҡ
622,roh::A,верек,сей
623,reif::A,кенерезь,өлгөрғән
624,lecker::A,тантей,тәмле
625,süß::A,ламбамо,тямле
626,süß::A,ламбамо,тәм-том
627,bitter::A,сэпей,әсе
628,sauer::A,чапамо,әсе
629,hell::A,валдо,яҡты
630,dunkel::A,чопода,ҡараңғы
631,schwarz::A,раужо,ҡара
632,weiß::A,ашо,аҡ
633,rot::A,якстере,матур
634,rot::A,якстере,һылыу
635,rot::A,якстере,сибәр
636,gelb::A,ожо,һары
637,blau::A,сэнь,күк
638,grün::A,пиже,йәшел
639,grau::A,шержев,буҙ
640,bunt::A,сёрмав,сыбар
641,bunt::A,сёрмав,ала-ҡола
642,billig::A,аволь питней,арзан
643,teuer::A,питней,ҡыйбатлы
644,wertvoll::A,питней,ҡиммәтле
645,blind::A,сокор,һуҡыр
646,taub::A,амариця,һаңғырау
647,kräftig::A,пек виев,көслө
648,kräftig::A,пек виев,ҡеүәтле
649,stark::A,виев,көслө
650,stark::A,виев,ҡеүәтле
651,schwach::A,лавшо,көсһөҙ
652,fett::A,куя,һимеҙ
653,schlank::A,виде ронга,зифа
654,hübsch::A,мазый,матур
655,böse::A,кежей,асыулы
656,dumm::A,чавола,иҫәр
657,dumm::A,превтеме,иҫәр
658,faul::A,нузякс,иренсәк
659,fleißig::A,мелень путыця,тырыш
660,geizig::A,скупой,һаран
661,klug::A,превей,аҡыллы
662,geschickt::A,маштозь теезь,оҫта
663,lieb::A,вадря,яғымлы
664,lustig::A,весёла,күңелле
665,sanft::A,сэтьме,йыуаш
666,hungrig::A,вачо,ас
667,krank::A,сэредиця,сирле
668,krank::A,сэредиця,ауырыу
669,nackt::A,штапо,яланғас
670,traurig::A,нусманя,яманһыу
671,lebendig::A,эриця,тере
672,lebendig::A,эриця,йәнле
673,gut::A,паро,яҡшы
674,schlecht::A,берянь,хөрт
675,schlecht::A,берянь,алама
676,richtig::A,виде,дөрөҫ
677,schlimm::A,берянь,хөрт
678,schlimm::A,берянь,алама
679,wahr::A,алкуксонь,дөрөҫ
680,alt::A,ташто,иҫке
681,alt::A,ташто,боронғо
682,neu::A,од,яңы
683,ehemalig::A,икелень,элекке
684,alt[Lebewesen]::A,сыре,ҡарт
685,jung::A,од,йәш
686,arm::A,кажов,фәҡир
687,reich::A,сюпав,бай
688,bekannt::A,содавикс,таныш
689,berühmt::A,содавикс,атаҡлы
690,berühmt::A,содавикс,данлыҡлы
691,fremd::A,лия,ят
692,fremd::A,лия,сит
693,fremd::A,асодавикс,ят
694,fremd::A,асодавикс,сит
695,verschieden::A,эрьва,төрлө
696,nah::A,а васолонь,яҡын
697,fern::A,умонь,алыҫ
698,fern::A,умонь,йыраҡ
699,fern::A,кезэрень,алыҫ
700,fern::A,кезэрень,йыраҡ
701,linker::A,керш,һул
702,rechter::A,вить,уң
703,anderer::A,лия,бутән
704,erster::A,васень,тәүге
705,erster::A,васенце,тәүге
706,zweiter::A,омбоце,икенсе
707,dritter::A,колмоце,өсөнсө
708,letzter::A,меельце,һуңғы
709,allein::ADV,башка,бер үҙе
710,allein::ADV,башка,яңғыҙ
711,allein::ADV,ськамонзо,бер үҙе
712,allein::ADV,ськамонзо,яңғыҙ
713,auf einmal::ADV,вейсэ,бер юлы
714,zusammen::ADV,вейс,бергә
715,zusammen::ADV,вейсэ,бергә
716,lange::ADV,кувать,оҙаҡ
717,plötzlich::ADV,апак учо,ҡапыл
718,sofort::ADV,курок,шунда уҡ
719,sofort::ADV,нейке,шунда уҡ
720,später::ADV,мейле,һуңыраҡ
721,jetzt::ADV,ней,хәҙер
722,heute::ADV,течи,бөгөн
723,morgen::ADV,ванды,иртәгә
724,bald::ADV,курок,тиҙҙән
725,dann::ADV,мейле,һуңынан
726,dann::ADV,седе мейле,һуңынан
727,gestern::ADV,исяк,кисә
728,einst::ADV,весть,ҡасандыр
729,einst::ADV,весть,бер баҡыт
730,einst::ADV,зярдо-бути,ҡасандыр
731,einst::ADV,зярдо-бути,бер баҡыт
732,damals::ADV,сестэ,ул саҡта
733,danach::ADV,мейле,һуңынан
734,danach::ADV,седе мейле,һуңынан
735,vorher::ADV,васняяк,элек
736,zuerst::ADV,васня,башта
737,einmal::ADV,весть,бер
738,manchmal::ADV,лиясто,ҡайһы берҙә
739,oft::ADV,сеетьстэ,йыш
740,immer::ADV,свал,һәр ҡасан
741,niemals::ADV,а зярдояк,бер ҡасан да
742,niemals::ADV,а зярдояк,бер ваҡытта ла
743,hier::ADV,тесэ,бында
744,hierhin::ADV,тей,бында
745,von hier::ADV,тестэ,бынан
746,von hier::ADV,тестэ,ошонан
747,dort::ADV,тосо,шунда
748,dort::ADV,тосо,тегендә
749,dorthin::ADV,тов,шунда
750,dorthin::ADV,тов,тегеләй
751,geradeaus::ADV,витьстэ,тура
752,vorwärts::ADV,икелев,алға
753,rückwärts::ADV,мекев,кирегә
754,zurück::ADV,мекев,кирегә
755,unten::ADV,ало,түбәндә
