,Concept_ID,ce,lt
724,damals::ADV,хӏетахьь,anuokart
725,danach::ADV,тӏаккха,po to
726,danach::ADV,тӏаккха,paskui
727,vorher::ADV,хьалхa,anksčiau
728,zuerst::ADV,хьалха,pirma
729,zuerst::ADV,хьалха,iš pradžių̃
730,einmal::ADV,цкъа,kartą
731,einmal::ADV,цкъа,vieną kartą
732,manchmal::ADV,цкъаццкъа,kai kada
733,oft::ADV,кест-кеста,dažnai
734,immer::ADV,даим,visada
735,immer::ADV,даим,visuomet
736,niemals::ADV,цкъа а,niekada
737,niemals::ADV,цкъа а,niekuomet
738,hier::ADV,кхузахь,čia
739,hierhin::ADV,кхуза,šen
740,hierhin::ADV,кхуза,čionai
741,von hier::ADV,кхузара,iš čia
742,dort::ADV,цигахь,ten
743,dort::ADV,цигахь,tenai
744,dorthin::ADV,цига,ten
745,dorthin::ADV,цига,ten link
746,geradeaus::ADV,нийса дӏа,tiesiai
747,vorwärts::ADV,хьалха,pirmyn
748,rückwärts::ADV,юха,atbulai
749,zurück::ADV,юха,atgal
750,unten::ADV,лахахь,žemai
751,unten::ADV,лахахь,apačioje
752,hinab::ADV,охьа,žemyn
753,oben::ADV,лакхахь,viršuj
754,hinauf::ADV,хьала,aukštyn
755,hinauf::ADV,хьала,į viršų
756,überall::ADV,массанхьа,visur
757,nicht::ADV,ца,ne
758,ein wenig::ADV,кӏеззиг,truputį
759,kaum::ADV,халла,vos
760,sehr::ADV,вуно,labai
761,sehr::ADV,вуно,baisiai
762,noch::ADV,кхин,dar
763,nur::ADV,бен ...ца,tik
764,nur::ADV,бен ...ца,vien
765,schon::ADV,хӏинцале,jau
766,wieder::ADV,юха а,vėl
