,Concept_ID,fi,sv
788,einst::ADV,aikanaan,en gång
789,damals::ADV,silloin,då
790,damals::ADV,silloin,den gången
791,damals::ADV,siihen aikaan,då
792,damals::ADV,siihen aikaan,den gången
793,danach::ADV,sen jälkeen,därefter
794,vorher::ADV,ennen,före
795,vorher::ADV,ennen,förut
796,zuerst::ADV,ensin,först
797,zuerst::ADV,ensiksi,först
798,einmal::ADV,kerran,en gång
799,manchmal::ADV,joskus,ibland
800,oft::ADV,usein,ofta
801,immer::ADV,aina,alltid
802,niemals::ADV,ei koskaan,aldrig
803,hier::ADV,tässä,här
804,hier::ADV,täällä,här
805,hierhin::ADV,tähän,hit
806,von hier::ADV,tästä,härifrån
807,von hier::ADV,täältä,härifrån
808,dort::ADV,siinä,där
809,dort::ADV,siellä,där
810,dorthin::ADV,sinne,dit
811,dorthin::ADV,tuonne,dit
812,geradeaus::ADV,suoraan,rätt fram
813,vorwärts::ADV,eteenpäin,fram
814,vorwärts::ADV,eteenpäin,framåt
815,rückwärts::ADV,taaksepäin,baklänges
816,zurück::ADV,takaisin,tillbaka
817,unten::ADV,alhaalla,nere
818,unten::ADV,alhaalla,nedanför
819,hinab::ADV,alas,ned
820,hinab::ADV,alas,nedåt
821,oben::ADV,ylhäällä,ovan
822,oben::ADV,ylhäällä,ovanpå
823,hinauf::ADV,ylös,upp
824,hinauf::ADV,ylös,uppåt
825,überall::ADV,kaikkialla,överallt
826,nicht::ADV,ei,ej
827,nicht::ADV,ei,inte
828,ein wenig::ADV,vähän,litet
829,kaum::ADV,tuskin,knappt
830,kaum::ADV,tuskin,knappast
831,sehr::ADV,kovin,mycket
832,sehr::ADV,oikein,mycket
833,so::ADV,näin,så
834,noch::ADV,vielä,än
835,noch::ADV,vielä,ännu
