,Concept_ID,xal,la
617,dunkel::A,харңһу,obscurus
618,schwarz::A,хар,niger
619,weiß::A,цаһан,albus
620,rot::A,улан,ruber
621,gelb::A,шар,flavus
622,blau::A,көк,caeruleus
623,grün::A,көк,viridis
624,grau::A,бор,canus
625,bunt::A,алг,varius
626,bunt::A,эрәтә,varius
627,billig::A,кимд,vilis
628,teuer::A,үнтә,carus
629,wertvoll::A,үнтә,pretiosus
630,wertvoll::A,эрднь,pretiosus
631,blind::A,сохр,caecus
632,taub::A,дүлә,surdus
633,kräftig::A,күчтә,robustus
634,stark::A,чаңһ,firmus
635,stark::A,чаңһ,validus
636,schwach::A,күчн тату,debilis
637,schwach::A,күчн тату,infirmus
638,fett::A,тарһн,crassus
639,schlank::A,эццн,procerus
640,hübsch::A,көркхн,pulcher
641,böse::A,уурта,improbus
642,dumm::A,тенг,stultus
643,dumm::A,тенг,stupidus
644,faul::A,залху,piger
645,fleißig::A,кинән,sedulus
646,fleißig::A,кинмһә,sedulus
647,geizig::A,ховдг,avarus
648,klug::A,ухата,prudens
649,geschickt::A,чадмг,sollers
650,lieb::A,эңкр,carus
651,lustig::A,сергмҗтә,iocosus
652,lustig::A,җирһлтә,iocosus
653,sanft::A,номһн,clemens
654,hungrig::A,өлн,impastus
655,hungrig::A,харһнсн,impastus
656,krank::A,өвчтә,aeger
657,krank::A,шалтгта,aeger
658,nackt::A,нүцкн,nudus
659,traurig::A,һундлта,maestus
660,lebendig::A,әмд,vivus
661,gut::A,сән,bonus
662,schlecht::A,му,malus
663,richtig::A,зөвтә,rectus
664,schlimm::A,җигшүртә,malus
665,wahr::A,үнн,verus
666,wahr::A,мөн,verus
667,alt::A,хуучн,antiquus
668,neu::A,шин,novus
669,ehemalig::A,хуучн,pristinus
670,alt[Lebewesen]::A,көгшн,vetus
671,jung::A,баһ,iuvenis
672,arm::A,угатя,pauper
673,reich::A,байн,dives
674,bekannt::A,таньл,notus
675,bekannt::A,таньдг,notus
676,berühmt::A,туурсн,celeber
677,berühmt::A,туурсн,illustris
678,fremd::A,күүнә,peregrinus
679,verschieden::A,әдл биш,varius
680,verschieden::A,йилһәтә,varius
681,nah::A,өөрхн,propinquus
682,fern::A,хол,longinquus
683,linker::A,зүн,sinister
684,rechter::A,барун,dexter
685,anderer::A,талдан,alius
686,erster::A,негдгч,primus
687,zweiter::A,хойрдгч,secundus
688,dritter::A,һурвдгч,tertius
689,letzter::A,отхн,ultimus
690,allein::ADV,һанцарн,solum
691,auf einmal::ADV,нег дәкҗ,simul
692,zusammen::ADV,хамдан,una
693,lange::ADV,удан,diu
694,plötzlich::ADV,генткн,subito
695,plötzlich::ADV,генткн,repente
696,sofort::ADV,дарунь,statim
697,später::ADV,сүүлд,postea
698,jetzt::ADV,ода,nunc
699,heute::ADV,эндр,hodie
700,morgen::ADV,маңһдур,cras
701,bald::ADV,дарунь,mox
702,dann::ADV,дәкәд,deinde
703,gestern::ADV,өцклдүр,heri
704,einst::ADV,нег саамд,olim
705,damals::ADV,тиигхд,tum
706,danach::ADV,тегәд,postea
707,vorher::ADV,урд,antea
708,zuerst::ADV,түрүләд,primo
709,einmal::ADV,нег дәкҗ,semel
710,manchmal::ADV,зәрмдән,interdum
711,oft::ADV,хара биш,saepe
712,oft::ADV,хатяр биш,saepe
713,oft::ADV,дару-дарунь,saepe
714,immer::ADV,оньдинд,semper
715,niemals::ADV,кезә чмгн биш,numquam
716,hier::ADV,энд,hic
717,hier::ADV,энүнд,hic
718,hierhin::ADV,нааран,huc
719,von hier::ADV,эндәс,hinc
720,dort::ADV,тенд,ibi
721,dorthin::ADV,тиигән,eo
722,geradeaus::ADV,шуд,recte
723,vorwärts::ADV,уралан,porro
724,rückwärts::ADV,гедргән,retro
725,zurück::ADV,хәрү,retro
726,unten::ADV,дор,infra
727,hinab::ADV,дор,pessum
728,hinab::ADV,доракшан,pessum
729,oben::ADV,деер,supra
730,hinauf::ADV,өөдән,sursum
731,hinauf::ADV,деер,sursum
732,überall::ADV,альд болв чигн,ubique
733,nicht::ADV,эс,non
734,nicht::ADV,биш,non
735,nicht::ADV,бичә,non
736,ein wenig::ADV,баахн,paulum
737,ein wenig::ADV,баахнар,paulum
738,kaum::ADV,әрә,vix
739,kaum::ADV,әрә,aegre
740,sehr::ADV,йир,valde
741,sehr::ADV,йир,magnopere
742,so::ADV,иигҗ,ita
743,noch::ADV,ода чигн,etiam
744,nur::ADV,һанцхн,solum
745,nur::ADV,һанцхн,tantum
746,schon::ADV,одх,iam
747,wieder::ADV,бас,rursus
748,vergebens::ADV,киидән,frustra
749,vor::PRP,урд,ante
750,hinter::PRP,ца,post
751,unter::PRP,дор,sub
752,durch::PRP,ивт,per
753,durch::PRP,дундаһур,per
754,neben::PRP,хаҗуд,iuxta
755,zwischen::PRP,хоорнд,inter
756,wegen::PRP,көлтә,propter
757,wegen::PRP,деерәс,propter
758,dies::PRN,эн,hoc
759,das::PRN,тер,id
760,alles::PRN,цуһар,omnia
761,ich::PRN,би,ego
762,du::PRN,чи,tu
763,er::PRN,тер,is
764,er::PRN,тер,ille
765,wir::PRN,мадн,nos
766,ihr::PRN,та,vos
767,sie::PRN,тедн,ii
768,sie::PRN,тедн,illi
