,Concept_ID,kn,cv
1189,denken::V,ಯೋಚಿಸು,шухӑшла
1190,glauben::V,ನಂಬು,ӗнен
1191,bemerken::V,ಗಮನಿಸು,асӑрха
1192,erkennen::V,ಗುರುತುಹಿಡಿ,палла
1193,begreifen::V,ಗ್ರಹಿಸು,ӑнлан
1194,verstehen::V,ಅರ್ಥಮಾಡಿಕೊ,пӗл
1195,lernen::V,ಕಲಿ,вӗрен
1196,wissen::V,ಅರಿ,пӗл
1197,wissen::V,ಅರಿ,ӑнкар
1198,sich erinnern an::V,ಜ್ಞಾಪಕವಿಟ್ಟುಕೊ,аса ил
1199,vergessen::V,ಮರೆತುವಿಡು,ман
1200,vergessen::V,ಮರೆತುವಿಡು,манса кай
1201,messen::V,ಅಳೆ,виҫ
1202,zählen::V,ಗಣಿಸು,шутла
1203,rechnen::V,ಲೆಕ್ಕ ಹಾಕು,шутла
1204,lesen::V,ಓದು,вула
1205,malen::V,ಬಿಡಿಸು,ӳкер
1206,zeichnen::V,ಬಿಡಿಸು,ӳкер
1207,schreiben::V,ಬರೆ,ҫыр
1208,besitzen::V,ಒಡೆಯನಾಗಿರು,тыт
1209,kaufen::V,ಕೊಳ್ಳು,ил
1210,kaufen::V,ಕೊಳ್ಳು,туян
1211,verkaufen::V,ಕೊಡು,сут
1212,bezahlen::V,ಬೆಲೆತೆರು,тӳле
1213,zahlen::V,ಹಣವನ್ನುಕೊಡು,тӳле
1214,beherrschen::V,ಅಧಿಕಾರ ನಡೆಸು,тыт
1215,ertragen::V,ಸಹಿಸು,тӳс
