,Concept_ID,lv,ca
829,Stab::N,зир,bastó
830,Stab::N,zizlis,bastó
831,Rohr::N,труба,tub
832,Rohr::N,caurule,tub
833,Haus::N,керка,casa
834,Haus::N,māja,casa
835,Heim::N,горт,llar
836,Heim::N,mājas,llar
837,Ofen::N,пач,estufa
838,Ofen::N,krāsns,estufa
839,Fußboden::N,джодж,terra
840,Fußboden::N,grīda,terra
841,Tisch::N,пызан,taula
842,Tisch::N,galds,taula
843,Stuhl::N,улӧс,cadira
844,Stuhl::N,krēsls,cadira
845,Wiege::N,зыбка,bressol
846,Wiege::N,šūpulis,bressol
847,Bett::N,вольпась,llit
848,Bett::N,gulta,llit
