,Concept_ID,hy,bg
744,traurig::A,տխուր,печален
745,lebendig::A,կենդանի,жив
746,gut::A,լավ,добър
747,schlecht::A,վատ,лош
748,richtig::A,ձիշտ,правилен
749,schlimm::A,լղրճուկ,лош
750,wahr::A,ճիշտ,верен
751,wahr::A,ճիշտ,истински
752,wahr::A,իրական,верен
753,wahr::A,իրական,истински
754,alt::A,հին,стар
755,alt::A,հին,древен
756,neu::A,նոր,нов
757,ehemalig::A,նախկին,бивш
758,alt[Lebewesen]::A,ծեր,стар
759,alt[Lebewesen]::A,պառավ,стар
760,jung::A,մատաղ,млад
761,arm::A,աղքատ,беден
762,reich::A,հարուստ,богат
763,bekannt::A,ծանոթ,познат
764,bekannt::A,ծանոթ,известен
765,berühmt::A,հայտնի,почут
766,berühmt::A,հայտնի,известен
767,berühmt::A,հռչակավոր,почут
768,berühmt::A,հռչակավոր,известен
769,fremd::A,օտար,чужд
770,verschieden::A,տարբեր,разен
771,verschieden::A,տարբեր,различен
772,nah::A,մոտ,близък
773,nah::A,մերձ,близък
774,fern::A,հեռավոր,далечен
775,linker::A,ձախ,ляв
776,rechter::A,աջ,прав
777,anderer::A,այլ,друг
