,Concept_ID,et,ru
822,rauschen::V,kohisema,шелестеть
823,klingen::V,kõlama,звучать
824,bellen::V,haukuma,лаять
825,heulen::V,uluma,выть
826,blasen::V,puhuma,дунуть
827,pfeifen::V,vilistama,свистеть
828,schreien::V,karjuma,кричать
829,stöhnen::V,oigama,стонать
830,zittern::V,värisema,дрожать
831,leben::V,elama,жить
832,leben::V,elus olema,жить
833,geboren werden::V,sündima,родиться
834,atmen::V,hingama,дышать
835,trinken::V,jooma,пить
836,essen::V,sööma,есть
837,essen::V,sööma,кушать
838,schlucken::V,neelama,глотать
839,müde werden::V,väsima,устать
840,einschlafen::V,uinuma,заснуть
