,Concept_ID,ps,et
639,scharf::A,تېز,terav
640,scharf::A,تېره,terav
641,stumpf::A,پڅ,nüri
642,schwer::A,دروند,raske
643,schön::A,ښکلی,kena
644,heiß::A,تود,kuum
645,heiß::A,تود,palav
646,warm::A,تود,soe
647,kalt::A,ېخ,külm
648,kalt::A,سوړ,külm
649,kühl::A,ېخ,jahe
650,kühl::A,سوړ,jahe
651,frisch::A,تازه,värske
652,feucht::A,مرطوب,niiske
653,nass::A,لوند,märg
654,trocken::A,وچ,kuiv
655,voll::A,ډک,täis
656,leer::A,خالی,tühi
657,offen::A,خلاص,avatud
658,offen::A,خلاص,lahtine
659,offen::A,پرانیستی,avatud
660,offen::A,پرانیستی,lahtine
661,geschlossen::A,تړلی,suletud
662,sauber::A,پاک,puhas
663,schmutzig::A,چټل,räpane
664,schmutzig::A,چټل,määrdunud
665,roh::A,خام,toores
666,reif::A,پوخ,küps
667,reif::A,رسېدلی,küps
668,lecker::A,خوندور,hõrk
669,lecker::A,خوندور,maitsev
670,lecker::A,مزه دار,hõrk
671,lecker::A,مزه دار,maitsev
672,süß::A,خوږ,magus
673,süß::A,شیرین,magus
674,bitter::A,تریخ,mõru
675,sauer::A,ټاک,hapu
676,sauer::A,تريو,hapu
677,hell::A,روڼ,hele
678,hell::A,روښان,hele
679,dunkel::A,تیاره,pime
680,schwarz::A,تور,must
681,weiß::A,سپين,valge
682,rot::A,سور,punane
683,gelb::A,زېړ,kollane
684,blau::A,شین,sinine
685,blau::A,اسماني رنګه,sinine
686,grün::A,زرغون,roheline
687,grau::A,خړ,hall
688,bunt::A,رنګارنګ,kirju
689,bunt::A,رنګارنګ,värviline
690,billig::A,ارزان,odav
691,teuer::A,ګران,kallis
692,wertvoll::A,قیمتي,väärtuslik
693,blind::A,ړوند,pime
694,taub::A,کوڼ,kurt
695,kräftig::A,قوی,jõuline
696,stark::A,قوی,tugev
697,stark::A,تکړه,tugev
698,schwach::A,ضعیف,nõrk
699,schwach::A,ضعیف,jõuetu
700,schwach::A,کمزوری,nõrk
701,schwach::A,کمزوری,jõuetu
702,fett::A,چاغ,rasvane
703,schlank::A,خوش اندام,sale
704,hübsch::A,ښکلی,kena
705,hübsch::A,ښایسته,kena
706,böse::A,شریر,tige
707,böse::A,قهرناک,tige
708,dumm::A,احمق,juhm
709,dumm::A,احمق,rumal
710,faul::A,لټ,laisk
711,faul::A,تنبل,laisk
