,Concept_ID,ka,fa
702,sauber::A,სუფთა,پاک
703,sauber::A,სუფთა,تمیز
704,sauber::A,წმინდა,پاک
705,sauber::A,წმინდა,تمیز
706,schmutzig::A,ტალახიანი,کثیف
707,schmutzig::A,ტალახიანი,آلوده
708,roh::A,უმი,خام
709,reif::A,მწიფე,رسیده
710,lecker::A,გემრიელი,لذیذ
711,lecker::A,გემრიელი,خوشمزه
712,süß::A,ტკბილი,شیرین
713,bitter::A,მწარე,تلخ
714,sauer::A,მჟავე,ترش
715,hell::A,ნათელი,روشن
716,dunkel::A,ბნელი,تاریک
717,schwarz::A,შავი,سیاه
