,Concept_ID,ku,mdf
709,anderer::A,yê din,лия
710,erster::A,yekemîn,васенце
711,zweiter::A,duda,омбоце
712,dritter::A,sisêya,колмоце
713,letzter::A,paşîn,ме́кольце
714,allein::ADV,tenê,ськамонза
715,auf einmal::ADV,jar kê,вихцок
716,zusammen::ADV,tev,марс
717,zusammen::ADV,tev,ма́рса
718,zusammen::ADV,bi hev re,марс
719,zusammen::ADV,bi hev re,ма́рса
720,lange::ADV,dirêj,кува́тьс
721,plötzlich::ADV,ji nişkave,а́пак учт
722,sofort::ADV,yekser,тяникиге
723,später::ADV,paşiyê,ме́ле
724,jetzt::ADV,nuha,тяни
725,heute::ADV,îro,тячи
726,morgen::ADV,sibeh,ва́нды
727,bald::ADV,nêzîk,курок
728,dann::ADV,paşê,меле
729,dann::ADV,paşê,сяда меле
730,gestern::ADV,do,ися́к
731,einst::ADV,jar ke,весть
732,einst::ADV,jar ke,мзя́рда-бди
733,damals::ADV,hîngî,эста
734,danach::ADV,piştra,меле
735,vorher::ADV,pîşî,инголи
736,zuerst::ADV,bere,ва́сенда
737,einmal::ADV,çarik,весть
738,manchmal::ADV,çarna,лия́ста
739,manchmal::ADV,çarna,ко́ста-ко́ста
740,oft::ADV,gelek çaran,си́деста
741,immer::ADV,daîm,фалу
742,immer::ADV,daîm,най
743,niemals::ADV,tu çar,аф мзя́рдонга
744,hier::ADV,li vir,тяса
745,hierhin::ADV,vir,сей
746,hierhin::ADV,vir,тяза
747,von hier::ADV,ji vir,тя́ста
748,dort::ADV,li wê derê,тоса
749,dorthin::ADV,wêda,тов
750,dorthin::ADV,wêda,тоза
751,geradeaus::ADV,rastê rast,ви́деста
752,vorwärts::ADV,ber bi pêş,и́нголи
753,rückwärts::ADV,paşpê,ме́ки
754,zurück::ADV,paşdo,ме́ки
755,zurück::ADV,paşvê,ме́ки
756,unten::ADV,jêrî,ала
757,hinab::ADV,berjêr,алу
758,oben::ADV,banî,вяре
759,hinauf::ADV,banî,вяри
760,überall::ADV,li her derê,се́мбе ва́стова
761,nicht::ADV,ne,аф
762,nicht::ADV,nîn,аф
763,nicht::ADV,tine,аф
764,ein wenig::ADV,hebkî,аф лама
765,kaum::ADV,tema,а́ньцек
766,kaum::ADV,himangi,а́ньцек
767,sehr::ADV,gelek,пяк
768,so::ADV,weha,ста́не
769,noch::ADV,hêj,нинге
770,noch::ADV,dîsa,нинге
771,nur::ADV,tenê,аньцек
772,nur::ADV,bes,аньцек
773,schon::ADV,hew,ни
774,wieder::ADV,jar din,та́га
775,wieder::ADV,dîsa,та́га
776,vergebens::ADV,deya çun,стак
777,vergebens::ADV,îfleh bûn,стак
778,vor::PRP,li ber,инголе
779,hinter::PRP,li pişt,фтала
780,hinter::PRP,li pişt,мельге
781,unter::PRP,li bin,ала
782,durch::PRP,kura,пачк
783,neben::PRP,li ba,ваксса
784,zwischen::PRP,nabeyne,ёткса
785,zwischen::PRP,di nav...da,ёткса
786,wegen::PRP,ji bo,сюнеда
787,wegen::PRP,ji ber,сюнеда
788,dies::PRN,ev,тя
789,das::PRN,ev,ся
790,das::PRN,ev,тона
791,alles::PRN,hemû,сембе
