,Concept_ID,sk,ca
789,morgen::ADV,zajtra,demà
790,bald::ADV,skoro,aviāt
791,dann::ADV,nato,després
792,dann::ADV,potom,després
793,gestern::ADV,včera,ahir
794,einst::ADV,kedysi,anteriorment
795,einst::ADV,niekedy,anteriorment
796,damals::ADV,vtedy,llavōrs
797,damals::ADV,vtedy,aleshores
798,danach::ADV,potom,després
799,danach::ADV,podľa toho,després
800,vorher::ADV,napred,abāns
801,vorher::ADV,predtým,abāns
802,zuerst::ADV,najprv,primer
803,einmal::ADV,raz,una vegada
804,einmal::ADV,jedenkrát,una vegada
805,manchmal::ADV,občas,de vegades
806,manchmal::ADV,niekedy,de vegades
807,oft::ADV,často,sovint
808,immer::ADV,vždy,sempre
809,immer::ADV,ustavične,sempre
810,niemals::ADV,nikdy,no ... mai
811,hier::ADV,tu,aquí
812,hierhin::ADV,sem,per aquí
813,hierhin::ADV,tade,per aquí
814,von hier::ADV,odtiaľto,des d'aquí
815,dort::ADV,tam,allí
816,dorthin::ADV,ta,hi
817,dorthin::ADV,tam,hi
818,geradeaus::ADV,rovno,tot dret
819,geradeaus::ADV,priamo,tot dret
820,vorwärts::ADV,napred,endavānt
821,rückwärts::ADV,nazad,endarrera
822,zurück::ADV,späť,darrere
823,zurück::ADV,naspäť,darrere
824,unten::ADV,dolu,a baix
825,unten::ADV,naspodku,a baix
826,hinab::ADV,dolu,cap avall
827,oben::ADV,hore,dalt
828,oben::ADV,navrchu,dalt
829,hinauf::ADV,hore,cap amunt
830,hinauf::ADV,navrch,cap amunt
831,überall::ADV,všade,pertot
832,überall::ADV,všade,per tot arreu
833,nicht::ADV,nie,no
834,ein wenig::ADV,trocha,una mica
835,kaum::ADV,ledva,a penes
836,sehr::ADV,veľmi,molt
837,so::ADV,tak,així
838,so::ADV,takto,així
839,noch::ADV,ešte,encara
840,nur::ADV,len,només
841,schon::ADV,už,ja
