,Concept_ID,eu,cs
649,Sommer::N,uda,léto
650,Herbst::N,udazken,podzim
651,Herbst::N,neguantz,podzim
652,Winter::N,negu,zima
653,Januar::N,urtarril,leden
654,Februar::N,otsail,únor
655,März::N,martxo,březen
656,April::N,apiril,duben
657,Mai::N,maiatz,květen
658,Juni::N,ekain,červen
659,Juli::N,uztail,červenec
660,August::N,abuztu,srpen
661,September::N,irail,září
662,Oktober::N,urri,říjen
663,November::N,azaro,listopad
664,Dezember::N,abendu,prosinec
665,Montag::N,astelehen,pondělí
666,Montag::N,astelehen,pondělek
667,Dienstag::N,astearte,úterý
668,Mittwoch::N,asteazken,středa
669,Donnerstag::N,ostegun,čtvrtek
670,Freitag::N,ostiral,pátek
671,Samstag::N,larunbat,sobota
672,Sonntag::N,igande,neděle
673,groß::A,handi,velký
674,klein::A,txiki,malý
675,lang::A,luze,dlouhý
676,kurz::A,labur,krátký
677,breit::A,zabal,široký
678,schmal::A,mehar,úzký
679,dicht::A,sarri,hustý
680,dicht::A,trinko,hustý
681,dick[Gegenstand]::A,lodi,tlustý
682,dünn::A,mehe,tenký
683,fein::A,fin,jemný
684,fest::A,tinko,pevný
685,flach::A,lau,plochý
686,flach::A,lau,placatý
687,flach::A,ordoki,plochý
688,flach::A,ordoki,placatý
689,glatt::A,leun,hladký
690,hart::A,gogor,tvrdý
691,weich::A,bigun,měkký
692,weich::A,beratz,měkký
693,rund::A,biribil,kulatý
694,rund::A,biribil,okrouhlý
695,spitz::A,puntadun,špičatý
696,scharf::A,zorrotz,ostrý
697,stumpf::A,kamuts,tupý
698,schwer::A,astun,těžký
699,schwer::A,pisutsu,těžký
700,schön::A,eder,pěkný
701,schön::A,eder,krásný
702,heiß::A,bero,horký
703,heiß::A,oso bero,horký
704,warm::A,bero,teplý
705,kalt::A,hotz,studený
706,kühl::A,hotzil,chladný
707,frisch::A,fresko,svěží
708,frisch::A,hozkirri,svěží
709,feucht::A,heze,vlhký
710,nass::A,busti,mokrý
711,trocken::A,siku,suchý
712,trocken::A,lehor,suchý
713,voll::A,bete,plný
714,leer::A,huts,prázdný
715,offen::A,ireki,otevřený
716,geschlossen::A,itxita,zavřený
717,sauber::A,xahu,čistý
718,sauber::A,garbi,čistý
719,schmutzig::A,lohi,špinavý
720,schmutzig::A,zikin,špinavý
721,roh::A,gordin,syrový
722,reif::A,umo,zralý
723,reif::A,heldu,zralý
724,lecker::A,goxo,chutný
725,süß::A,goxo,sladký
726,bitter::A,karmin,hořký
727,bitter::A,garratz,hořký
728,sauer::A,mingots,kyselý
729,hell::A,argi,světlý
730,dunkel::A,ilun,temný
731,schwarz::A,beltz,černý
732,weiß::A,zuri,bílý
733,rot::A,gorri,rudý
734,rot::A,gorri,červený
735,gelb::A,hori,žlutý
736,blau::A,urdin,modrý
737,grün::A,berde,zelený
738,grün::A,musker,zelený
739,grau::A,urdin,šedý
740,grau::A,urdin,šedivý
741,grau::A,urdinabar,šedý
