,Concept_ID,hu,ba
667,taub::A,süket,һаңғырау
668,kräftig::A,erős,көслө
669,kräftig::A,erős,ҡеүәтле
670,stark::A,erős,көслө
671,stark::A,erős,ҡеүәтле
672,schwach::A,gyenge,көсһөҙ
673,schwach::A,erőtlen,көсһөҙ
674,fett::A,hájas,һимеҙ
675,schlank::A,karcsú,зифа
676,hübsch::A,csinos,матур
677,böse::A,rossz,асыулы
678,böse::A,gonosz,асыулы
679,dumm::A,buta,иҫәр
680,dumm::A,ostoba,иҫәр
681,faul::A,lusta,иренсәк
682,fleißig::A,szorgalmas,тырыш
683,geizig::A,fukar,һаран
684,geizig::A,fösvény,һаран
685,klug::A,okos,аҡыллы
686,klug::A,eszes,аҡыллы
687,geschickt::A,ügyes,оҫта
688,lieb::A,drága,яғымлы
689,lieb::A,kedves,яғымлы
690,lustig::A,víg,күңелле
691,lustig::A,vidám,күңелле
692,sanft::A,enyhe,йыуаш
693,hungrig::A,éhes,ас
694,krank::A,beteg,сирле
695,krank::A,beteg,ауырыу
696,nackt::A,csupasz,яланғас
697,nackt::A,meztelen,яланғас
698,traurig::A,bús,яманһыу
699,traurig::A,szomorú,яманһыу
700,lebendig::A,élő,тере
701,lebendig::A,élő,йәнле
702,gut::A,jó,яҡшы
703,schlecht::A,rossz,хөрт
704,schlecht::A,rossz,алама
705,richtig::A,helyes,дөрөҫ
706,schlimm::A,rossz,хөрт
707,schlimm::A,rossz,алама
708,wahr::A,igaz,дөрөҫ
709,alt::A,ó,иҫке
710,alt::A,ó,боронғо
711,alt::A,régi,иҫке
712,alt::A,régi,боронғо
713,neu::A,új,яңы
714,ehemalig::A,volt,элекке
715,ehemalig::A,egykori,элекке
716,alt[Lebewesen]::A,öreg,ҡарт
717,jung::A,fiatal,йәш
718,arm::A,szegény,фәҡир
719,reich::A,gazdag,бай
720,bekannt::A,ismert,таныш
721,bekannt::A,ismeretes,таныш
722,berühmt::A,híres,атаҡлы
723,berühmt::A,híres,данлыҡлы
724,fremd::A,idegen,ят
725,fremd::A,idegen,сит
726,verschieden::A,különböző,төрлө
727,nah::A,közeli,яҡын
728,fern::A,távoli,алыҫ
729,fern::A,távoli,йыраҡ
730,linker::A,bal,һул
731,rechter::A,jobb,уң
732,anderer::A,más,бутән
733,anderer::A,másik,бутән
734,erster::A,első,тәүге
735,zweiter::A,második,икенсе
736,dritter::A,harmadik,өсөнсө
737,letzter::A,utolsó,һуңғы
738,allein::ADV,egyedül,бер үҙе
739,allein::ADV,egyedül,яңғыҙ
740,auf einmal::ADV,egyszerre,бер юлы
741,zusammen::ADV,együtt,бергә
742,zusammen::ADV,összesen,бергә
743,lange::ADV,sokáig,оҙаҡ
744,lange::ADV,hosszan,оҙаҡ
745,plötzlich::ADV,hirtelen,ҡапыл
746,plötzlich::ADV,egyszerre,ҡапыл
747,sofort::ADV,rögtön,шунда уҡ
748,sofort::ADV,tüstént,шунда уҡ
749,später::ADV,későn,һуңыраҡ
750,jetzt::ADV,most,хәҙер
751,heute::ADV,ma,бөгөн
752,morgen::ADV,holnap,иртәгә
753,bald::ADV,majd,тиҙҙән
754,bald::ADV,nemsokára,тиҙҙән
755,dann::ADV,akkor,һуңынан
756,gestern::ADV,tegnap,кисә
757,einst::ADV,hajdan,ҡасандыр
758,einst::ADV,hajdan,бер баҡыт
759,damals::ADV,akkor,ул саҡта
760,damals::ADV,akkoriban,ул саҡта
761,danach::ADV,azután,һуңынан
762,vorher::ADV,előbb,элек
763,zuerst::ADV,először,башта
764,einmal::ADV,egyszer,бер
765,manchmal::ADV,néha,ҡайһы берҙә
766,manchmal::ADV,olykor,ҡайһы берҙә
767,oft::ADV,sokszor,йыш
768,immer::ADV,mindig,һәр ҡасан
769,niemals::ADV,sohasem,бер ҡасан да
770,niemals::ADV,sohasem,бер ваҡытта ла
771,hier::ADV,itt,бында
772,hierhin::ADV,erre,бында
773,von hier::ADV,innen,бынан
774,von hier::ADV,innen,ошонан
775,dort::ADV,ott,шунда
