,Concept_ID,ar,kl
628,März::N,آذار,marsi
629,März::N,آذار,martsi
630,März::N,مارس,marsi
631,März::N,مارس,martsi
632,April::N,نيسان,
633,Mai::N,مايو,maaji
634,Juni::N,يونيو,juuni
635,Juni::N,حزيران,juuni
636,Juli::N,تموز,juuli
637,Juli::N,يوليو,juuli
638,August::N,آب,aggusti
639,August::N,أغسطس,aggusti
640,September::N,أيلول,septembari
641,September::N,سبتمبر,septembari
642,Oktober::N,أكتوبر,oktobari
643,Oktober::N,تشرين الأول,oktobari
644,November::N,نوفمبر,novembari
645,November::N,تشرين الثاني,novembari
646,Dezember::N,ديسمبر,detsembari
647,Dezember::N,كانون الأول,detsembari
648,Montag::N,يوم الاثنين,ataasinngortoq
649,Dienstag::N,يوم الثلاثاء,marlunngorneq
650,Mittwoch::N,يوم الأربعاء,pingasunngorneq
651,Donnerstag::N,يوم الخميس,sisamanngorneq
652,Freitag::N,يوم الجمعة,tallimanngorneq
653,Samstag::N,يوم السبت,arfininngorneq
654,Sonntag::N,يوم الأحد,sapaat
655,Sonntag::N,يوم الأحد,sapaati
656,groß::A,كبير,angivoq
657,klein::A,صغير,mikivoq
658,lang::A,طويل,takisooq
659,kurz::A,قصير,naatsoq
660,breit::A,واسع,silippoq
661,schmal::A,ضيق,amitsoq
662,dicht::A,كث,torsusooq
663,dicht::A,كثيف,torsusooq
664,dick[Gegenstand]::A,غليظ,issuvoq
665,dick[Gegenstand]::A,غليظ,issusooq
666,dünn::A,رفيع,amitsoq
667,fein::A,رقيق,mamarpoq
668,fest::A,متين,tangeqarpoq
669,flach::A,سهل,nalimmappoq
670,flach::A,منبسط,nalimmappoq
671,glatt::A,ناعم,quasak
672,hart::A,صلب,mattusooq
673,hart::A,صلب,manngerpoq
674,hart::A,صلب,titeqquluppoq
675,hart::A,جامد,mattusooq
676,hart::A,جامد,manngerpoq
677,hart::A,جامد,titeqquluppoq
678,weich::A,لين,nerumaarpoq
679,rund::A,مستدير,ammallorippoq
680,spitz::A,مدبب,qummukujooq
681,scharf::A,حاد,ipippoq
682,stumpf::A,ثالم,anngerpoq
683,schwer::A,ثقيل,oqimaappoq
684,schön::A,جميل,kusanarpoq
685,heiß::A,حار,kiappoq
