,Concept_ID,ta,sah
552,trocken::A,உலர்ந்த,кураан
553,voll::A,நிரம்பிய,толору
554,leer::A,காலியான,иччитэх
555,offen::A,திறந்த,аһаҕас
556,geschlossen::A,மூடப்பட்ட,бүтэй
557,sauber::A,சுத்தமான,сэбэр
558,schmutzig::A,அழக்கான,кирдээх
559,roh::A,கச்சா,сиикэй
560,reif::A,பழுத்த,буспут
561,reif::A,பழுத்த,сиппит-хоппут
562,lecker::A,சுவைமிக்க,минньигэс
563,süß::A,இனிப்பான,минньигэс
564,bitter::A,கசப்பான,аһыы
565,sauer::A,புளிப்பாக,аһыы
566,hell::A,பளபளப்பான,сырдык
567,dunkel::A,கருமையான,хараҥа
568,schwarz::A,கருப்பு வண்ண,хара
569,weiß::A,வெண்மையன,үрүҥ
570,weiß::A,வெண்மையன,маҥан
571,rot::A,சிவப்பு,кыһыл
572,gelb::A,மஞ்சள் வண்ணம்,саһархай
573,blau::A,நீல வண்ண,күөх
574,grün::A,பச்சை வண்ண,күөх
575,grün::A,பச்சை வண்ண,от күөҕэ
576,grau::A,சாம்பல் நிற,сиэрэй
577,bunt::A,வண்ண மயமான,эриэн
578,billig::A,மலிவான,чэпчэки
579,teuer::A,விலை அதிகமான,сыаналаах
580,wertvoll::A,மதிப்புள்ள,сыаналаах
581,blind::A,பார்வையற்ற,хараҕа суох
582,taub::A,செவிடான,дьүлэй
583,kräftig::A,வலிமையான,модун
584,stark::A,பலமான,күүстээх
585,schwach::A,பலவீனமான,мөлтөх
586,fett::A,பருமனாக,эмис
587,schlank::A,ஒல்லியான,дьылҕан
588,schlank::A,ஒல்லியான,дьыпсаҕай
589,hübsch::A,அழகிய,олус кэрэ
590,hübsch::A,அழகிய,көрүөхтэн үчүгэй
591,böse::A,கேடு விளைவிக்கும்,өһүөннээх
592,dumm::A,முட்டாள்தனமான,акаары
593,faul::A,சோம்பலான,нэс
594,fleißig::A,ஊக்கந்தளராத,кыһамньылаах
595,geizig::A,கஞேசத்தனமான,иҥсэлээх
596,klug::A,சாதுரியமான,өйдөөх
597,geschickt::A,திறமையள்ள,наһаа дьоҕурдаах
598,lieb::A,அன்புக்குரிய,тапталлаах
599,lustig::A,களிப்புமிக்க,көрдөөх
600,sanft::A,சாதுவான,намчы
601,sanft::A,சாதுவான,сымнаҕас
602,hungrig::A,பசியுடன்,аччык
603,krank::A,நோயுற்று,ыалдьар
604,nackt::A,ஆடையற்ற,сыгынньах
605,traurig::A,சோகமான,санаарҕабыллаах
606,lebendig::A,பிழைப்பு,тыыннаах
607,gut::A,நல்ல,үтүө
608,gut::A,நல்ல,үчүгэй
609,schlecht::A,கெட்ட,куһаҕан
610,richtig::A,சரியான,сөп
611,schlimm::A,அருவருப்பான,сидьиҥ
612,schlimm::A,அருவருப்பான,быдьар
613,wahr::A,உண்மையான,кырдьык
614,alt::A,பழைய,былыргы
615,neu::A,புதிய,саҥа
616,ehemalig::A,முன்நாள்,урукку
617,alt[Lebewesen]::A,வயதான,кырдьаҕас
618,jung::A,இளமையான,эдэр
619,arm::A,ஏழ்மையான,дьадаҥы
620,reich::A,செல்வம் படைத்த,баай
621,bekannt::A,பழக்கப்பட்ட,билэр
622,berühmt::A,புகழ்பெற்ற,аатырбыт
623,fremd::A,அயல் நாட்டு,атын
624,verschieden::A,வித்தியாசமான,араас
625,nah::A,பக்கத்தில் உள்ள,чугас
626,fern::A,தொலை தூரத்தில்,ыраах
627,linker::A,மீந்திருக்கும்,хаҥас
628,rechter::A,வலதுபக்கம்,уҥа
629,anderer::A,மற்ற,атын
630,erster::A,முதனமையான,маҥнайгы
631,zweiter::A,இரண்டாவது,иккис
632,dritter::A,மூன்றாவது,үһүс
633,letzter::A,கடைசி,тиһэх
634,allein::ADV,தனியாக,соҕотох
635,auf einmal::ADV,தடீரென்று,биирдэ
636,zusammen::ADV,சேர்ந்து,холбуу
637,lange::ADV,அதிக நோம்,уһуннук
638,plötzlich::ADV,தடீரென்று,эмискэ
639,sofort::ADV,உடனடியாக,тута
640,später::ADV,பிறகு,хойут
641,jetzt::ADV,இப்பொழது,билигин
642,heute::ADV,இன்று,бүгүн
643,morgen::ADV,நாளைக்கு,сарсын
644,bald::ADV,சீக்கிரம்,өтөр
645,dann::ADV,அப்பொழுது,кэнна
646,gestern::ADV,நேற்று,бэҕэһээ
647,einst::ADV,ஒரே முறை,биир төгүл
