,Concept_ID,mn,mdf
504,Brei::N,будаа,ям
505,Brot::N,талх,кши
506,Scheibe::N,зүсэм,кочам
507,Scheibe::N,хэрчим,кочам
508,Fett::N,өөх,куя́
509,Butter::N,тос,вай
510,Öl::N,тос,вай
511,Salz::N,давс,сал
512,Suppe::N,шөл,шонгарям
513,Suppe::N,шөл,коршампяль
514,Honig::N,бал,медь
515,Milch::N,сүү,лофца
516,Tee::N,цай,чай
517,Leder::N,арьс,кедь
518,Leder::N,савхи,кедь
519,Wolle::N,ноос,пона
520,Wolle::N,унгас,пона
521,Stoff::N,бөс,котф
522,Nadel::N,зүү,салмокс
523,Faden::N,боолт,сюре
524,Faden::N,утас,сюре
525,Knopf::N,товч,пуня
526,Knoten::N,зангилаа,сюлма
527,Farbe::N,будаг,архтомбяль
528,Kleidung::N,хувцас,щам
529,Hemd::N,цамц,па́нар
530,Kragen::N,зах заам,сиве
531,Ärmel::N,ханцуй,ожа
532,Hose::N,өмд,понкст
533,Gürtel::N,бүс,каркс
534,Mütze::N,малгай,вазь
535,Mütze::N,бүрх,вазь
536,Schuh::N,туфли,башма́к
