,Concept_ID,mn,ml
604,Dienstag::N,мягмар,ചൊവ്വ
605,Mittwoch::N,лхагва,ബുധനാഴ്ച
606,Donnerstag::N,пүрэв,വ്യാഴാഴ്ച
607,Freitag::N,баасан,വെള്ളിയാഴ്ച
608,Samstag::N,бямба,ശനിയാഴ്ച
609,Sonntag::N,ням,ഞായറാഴ്ച
610,groß::A,их,വലിയ
611,groß::A,том,വലിയ
612,klein::A,бага,ചെറിയ
613,klein::A,жаахан,ചെറിയ
614,lang::A,урт,നീണ്ട
615,kurz::A,охор,ഹ്രസ്വമായ
616,kurz::A,богино,ഹ്രസ്വമായ
617,breit::A,өргөн,വിശാലമായ
618,schmal::A,уйтан,ഇടുങ്ങിയ
619,schmal::A,нарийн,ഇടുങ്ങിയ
620,dicht::A,нягт,നിബിഡമായ
621,dicht::A,чигжүү,നിബിഡമായ
622,dick[Gegenstand]::A,зузаан,തടിച്ച
623,dünn::A,нимгэн,മെലിഞ്ഞ
624,fein::A,нарийн,നേർത്ത
625,fest::A,бөх,ഉറപ്പുള്ള
626,fest::A,хатуу,ഉറപ്പുള്ള
627,flach::A,хавтгай,പരന്ന
628,glatt::A,цагаан,മിനുസമുള്ള
629,hart::A,хатуу,കട്ടിയുള്ള
630,weich::A,зөөлөн,മൃദുവായ
