,Concept_ID,hu,sv
329,Anzahl::N,szám,antal
330,Art::N,faj,art
331,Art::N,faj,slag
332,Art::N,fajta,art
333,Art::N,fajta,slag
334,Stück::N,darab,stycke
335,Teil::N,rész,del
336,Hälfte::N,fél,halva
337,Kreis::N,kör,krets
338,Kreis::N,kör,cirkel
339,Kreuz::N,kereszt,kors
340,Kreuz::N,kereszt,kryss
341,Linie::N,vonal,linje
342,Strich::N,vonás,streck
343,Abstand::N,köz,avstånd
344,Entfernung::N,távolság,avstånd
345,Gegend::N,táj,trakt
346,Gegend::N,vidék,trakt
347,Platz::N,hely,plats
348,Ort::N,hely,plats
349,Ort::N,hely,ställe
350,Seite::N,fél,sida
351,Seite::N,oldal,sida
352,Mitte::N,közép,mitt
353,Gegenstand::N,tárgy,föremål
354,Sache::N,dolog,sak
355,Rand::N,szél,rand
356,Rand::N,perem,rand
357,Rand::N,szegély,rand
358,Kante::N,él,kant
359,Ecke::N,sarok,vrå
360,Ecke::N,sarok,hörn
361,Ecke::N,szöglet,vrå
362,Ecke::N,szöglet,hörn
363,Spitze::N,csúcs,spets
364,Ende::N,vég,ända
365,Loch::N,lyuk,hål
366,Winkel::N,szög,vinkel
367,Muster::N,minta,mönster
368,Größe::N,nagyság,storlek
369,Länge::N,hossz,längd
370,Länge::N,hosszúság,längd
371,Höhe::N,magasság,höjd
372,Gewicht::N,súly,tyngd
373,Menge::N,sokaság,mängd
374,Menge::N,mennyiség,mängd
375,Haufen::N,halom,hög
376,Reihe::N,sor,rad
377,Boot::N,csónak,båt
378,Ruder::N,evező,åra
379,Schlitten::N,szánkó,släde
380,Ski::N,sí,skida
381,Lagerfeuer::N,tábortűz,lägereld
382,Last::N,teher,last
383,Last::N,teher,börda
384,Gang::N,járás,gång
385,Schritt::N,lépés,steg
386,Norden::N,észak,norr
387,Süden::N,dél,söder
388,Westen::N,nyugat,väster
389,Osten::N,kelet,öster
390,Holz::N,fa,trä
391,Brett::N,deszka,bräda
392,Platte::N,lap,platta
393,Platte::N,lemez,platta
394,Stütze::N,támasz,stöd
395,Stütze::N,támasz,stötta
396,Stütze::N,támaszték,stöd
397,Stütze::N,támaszték,stötta
398,Stange::N,rúd,stång
399,Stange::N,pózna,stång
400,Stock::N,pálca,käpp
401,Stock::N,pálca,pinne
402,Stab::N,bot,stav
403,Rohr::N,cső,rör
404,Haus::N,ház,hus
405,Heim::N,otthon,hem
406,Ofen::N,kályha,ugn
407,Fußboden::N,padló,golv
408,Tisch::N,asztal,bord
409,Stuhl::N,szék,stol
410,Wiege::N,bölcső,vagga
411,Bett::N,ágy,säng
412,Regal::N,polc,hylla
413,Regal::N,állvány,hylla
414,Kiste::N,láda,låda
415,Fenster::N,ablak,fönster
416,Tür::N,ajtó,dörr
417,Tor::N,kapu,port
418,Zaun::N,kerítés,staket
419,Zaun::N,kerítés,stängsel
420,Dach::N,tető,tak
421,Leiter::N,létra,stege
422,Besen::N,seprű,kvast
423,Spaten::N,ásó,spade
