,Concept_ID,is,uk
773,nur::ADV,aðeins,тільки
774,schon::ADV,nú þegar,вже
775,wieder::ADV,aftur,знову
776,wieder::ADV,að nýju,знову
777,vergebens::ADV,árangurslaust,дарма
778,vor::PRP,fyrir,перед
779,hinter::PRP,bak við,ззаду
780,hinter::PRP,bak við,позаду
781,hinter::PRP,aftur fyrir,ззаду
782,hinter::PRP,aftur fyrir,позаду
783,unter::PRP,undir,під
784,durch::PRP,gegnum,крізь
785,neben::PRP,hjá,біля
786,neben::PRP,við hliðina á,біля
787,zwischen::PRP,milli,між
788,zwischen::PRP,á milli,між
789,wegen::PRP,vegna,з-за
790,wegen::PRP,vegna,через
791,dies::PRN,þetta,це
792,das::PRN,það,то
793,alles::PRN,allt,все
794,ich::PRN,ég,я
795,du::PRN,þú,ти
796,er::PRN,hann,він
797,wir::PRN,við,ми
798,ihr::PRN,þið,ви
799,sie::PRN,þær,вони
800,sie::PRN,þeir,вони
801,was::FPRN,hvað,що
802,wer::FPRN,hver,хто
803,wo::FADV,hvar,де
804,wohin::FADV,hvert,куди
805,wie::FADV,hvernig,як
806,warum::FADV,hvers vegna,чому
807,wieviel::FNUM,hve mikill,скільки
808,eins::NUM,einn,один
809,zwei::NUM,tveir,два
810,drei::NUM,þrír,три
811,vier::NUM,fjórir,чотири
812,fünf::NUM,fimm,п’ять
813,sechs::NUM,sex,шість
814,sieben::NUM,sjö,сім
815,acht::NUM,átta,вісім
816,neun::NUM,níu,дев’ять
817,zehn::NUM,tíu,десять
818,elf::NUM,ellefu,одинадцять
819,zwölf::NUM,tólf,дванадцять
820,zwanzig::NUM,tuttugu,двадцять
821,dreißig::NUM,þrjátíu,тридцять
822,vierzig::NUM,fjörutíu,сорок
823,fünfzig::NUM,fimmtíu,п’ятдесят
824,sechzig::NUM,sextíu,шістдесят
825,siebzig::NUM,sjötíu,сімдесят
