,Concept_ID,kn,mrj
494,Unglück::N,ಅಪಾಯ,пёда
495,Unglück::N,ಅಪಾಯ,тымаша
496,Schuld::N,ದೋಷ,вуйнамат
497,Alter::N,ಮುಪ್ಪು,иӓш
498,Alter::N,ಮುಪ್ಪು,игечӹ
499,Schluss::N,ಮುಕ್ತಾಯ,пӹтӓртӹш
500,Zeit::N,ಕಾಲ,веремӓ
501,Tag::N,ದಿನ,кечӹ
502,Morgen::N,ಮುಂಜಾನೆ,ир
503,Morgen::N,ಮುಂಜಾನೆ,ирок
504,Mittag::N,ನಡುಹಗಲು,кечӹвӓл
505,Abend::N,ಸಂಜೆ,вады
506,Nacht::N,ರಾತ್ರಿ,йыд
507,Woche::N,ವಾರ,ӓрня
508,Monat::N,ತಿಂಗಳು,тӹ́лзӹ
509,Jahr::N,ಸಂವತ್ಸರ,год
510,Frühling::N,ವಸಂತ,шошым
511,Sommer::N,ಬಿಸಿಲುಕಾಲ,кӓнгӹж
512,Herbst::N,ಶರತ್ಕಾಲ,шӹжӹ
513,Winter::N,ಚಳಿಗಾಲ,тел
514,Winter::N,ಚಳಿಗಾಲ,телӹ
515,Januar::N,ನಾಲ್ಚಳಿ,январ
516,Januar::N,ನಾಲ್ಚಳಿ,январь
517,Februar::N,ಅಯ್ಚಳಿ,февраль
518,März::N,ಮೊಬ್ಬೇಸಿಗೆ,март
519,April::N,ಇಬ್ಬೇಸಿಗೆ,апрель
520,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,май
521,Juni::N,ಮೊಮ್ಮಳೆ,июнь
522,Juli::N,ಇಮ್ಮಳೆ,июль
523,August::N,ಮುಮ್ಮಳೆ,август
524,September::N,ನಾಲ್ಮಳೆ,сентябрь
525,Oktober::N,ಮೊಚ್ಚಳಿ,октябрь
526,November::N,ಇಚ್ಚಳಿ,ноябрь
527,Dezember::N,ಮುಚ್ಚಳಿ,декавыр
528,Montag::N,ಸೋಮುವಾರ,шачмы
529,Dienstag::N,ಮಂಗಳವಾರ,кышкыжмы
530,Mittwoch::N,ಬುಧವಾರ,вӹрчегӹ
531,Donnerstag::N,ಗುರುವಾರ,изӓрня
532,Freitag::N,ಶುಕ್ರವಾರ,когарня
533,Samstag::N,ಶನಿವಾರ,кукшыгечӹ
