,Concept_ID,de,da
683,warum::FADV,warum,hvorfor
684,wieviel::FNUM,wieviel,hvor meget
685,eins::NUM,eins,én
686,zwei::NUM,zwei,to
687,drei::NUM,drei,tre
688,vier::NUM,vier,fire
689,fünf::NUM,fünf,fem
690,sechs::NUM,sechs,seks
691,sieben::NUM,sieben,syv
692,acht::NUM,acht,otte
693,neun::NUM,neun,ni
694,zehn::NUM,zehn,ti
695,elf::NUM,elf,elleve
696,zwölf::NUM,zwölf,tolv
697,zwanzig::NUM,zwanzig,tyve
698,dreißig::NUM,dreißig,tredive
699,vierzig::NUM,vierzig,fyrre
700,vierzig::NUM,vierzig,fyrretyve
701,fünfzig::NUM,fünfzig,halvtreds
702,sechzig::NUM,sechzig,tres
703,siebzig::NUM,siebzig,halvfjerds
704,achtzig::NUM,achtzig,firs
705,neunzig::NUM,neunzig,halvfems
706,hundert::NUM,hundert,hundrede
707,tausend::NUM,tausend,tusind
708,und::CNJ,und,og
709,oder::CNJ,oder,eller
710,stehen::V,stehen,stå
711,sitzen::V,sitzen,sidde
712,liegen::V,liegen,ligge
713,hängen::V,hängen,hænge
714,werden::V,werden,blive
715,passieren::V,passieren,ske
716,passieren::V,passieren,hænde
717,beginnen::V,beginnen,begynde
718,enden::V,enden,ende
719,wechseln::V,wechseln,veksle
720,aufgehen[Sonne]::V,aufgehen,gå op
721,aufgehen[Sonne]::V,aufgehen,stå op
722,untergehen[Sonne]::V,untergehen,gå ned
723,scheinen[Sonne]::V,scheinen,skinne
724,donnern::V,donnern,tordne
725,wehen::V,wehen,blæse
726,strömen::V,strömen,strømme
727,fließen::V,fließen,flyde
728,sich drehen::V,sich drehen,dreje sig
729,schwanken::V,schwanken,vakle
730,schwingen::V,schwingen,svinge
731,fallen::V,fallen,falde
732,brennen::V,brennen,brænde
733,rauchen::V,rauchen,ryge
734,regnen::V,regnen,regne
735,gefrieren::V,gefrieren,fryse
736,tauen::V,tauen,tø
737,schmelzen::V,schmelzen,smelte
738,trocknen::V,trocknen,tørre
739,sieden::V,sieden,koge
740,faulen::V,faulen,rådne
741,verfaulen::V,verfaulen,rådne
742,reißen::V,reißen,briste
743,versinken::V,versinken,synke
744,versinken::V,versinken,synke ned
745,vergehen::V,vergehen,forløbe
746,erscheinen::V,erscheinen,vise sig
747,verschwinden::V,verschwinden,forsvinde
748,sinken::V,sinken,synke
749,abnehmen::V,abnehmen,aftage
750,zunehmen::V,zunehmen,tiltage
751,steigen::V,steigen,stige
752,wachsen::V,wachsen,gro
753,wachsen::V,wachsen,vokse
754,glänzen::V,glänzen,glinse
755,funkeln::V,funkeln,tindre
756,lärmen::V,lärmen,larme
757,läuten::V,läuten,ringe
758,klingeln::V,klingeln,ringe
759,klirren::V,klirren,klirre
760,brausen::V,brausen,bruse
761,rauschen::V,rauschen,suse
762,klingen::V,klingen,lyde
763,klingen::V,klingen,klinge
764,bellen::V,bellen,gø
765,heulen::V,heulen,hyle
766,blasen::V,blasen,blæse
767,pfeifen::V,pfeifen,fløjte
768,schreien::V,schreien,skrige
769,stöhnen::V,stöhnen,stønne
770,zittern::V,zittern,dirre
771,zittern::V,zittern,skælve
772,leben::V,leben,leve
773,geboren werden::V,geboren werden,fødes
774,atmen::V,atmen,ånde
775,trinken::V,trinken,drikke
776,essen::V,essen,spise
777,schlucken::V,schlucken,synke
778,müde werden::V,müde werden,blive træt
779,einschlafen::V,einschlafen,falde i søvn
780,schlafen::V,schlafen,sove
781,aufwachen::V,aufwachen,vågne
782,aufstehen::V,aufstehen,stå op
783,sich erholen::V,sich erholen,komme sig
784,krank werden::V,krank werden,blive syg
785,krank sein::V,krank sein,være syg
786,schmerzen::V,schmerzen,smerte
787,husten::V,husten,hoste
788,genesen::V,genesen,komme sig
789,sterben::V,sterben,dø
790,umkommen::V,umkommen,omkomme
791,sich bewegen::V,sich bewegen,bevæge sig
792,sich rühren::V,sich rühren,røre på sig
793,sich erheben::V,sich erheben,rejse sig
794,sich setzen::V,sich setzen,sætte sig
795,hinfallen::V,hinfallen,
