,Concept_ID,mn,av
285,Geist::N,оюун,рухӏ-жан
286,Gedanke::N,сэтгэл,пикру
287,Gedächtnis::N,ой,
288,Gedächtnis::N,цээж,
289,Verstand::N,ухаан,лумалъи
290,Verstand::N,ухаан,цӏодорлъи
291,Sinn::N,утга,магӏна
292,Grund::N,учир,багьана
293,Wahrheit::N,үнэн,ритӏухълъи
294,Gespräch::N,яриа,накъит
295,Märchen::N,явган үлгэр,маргьа
296,Erzählung::N,тууж,къиса
297,Nachricht::N,мэдээ,хабар
298,Neuigkeit::N,сонин,хабар-гӏазаб
299,Name::N,нэр,цӏар
300,Rätsel::N,оньсого,бицанкӏо
301,Rede::N,хэлсэн үг,речь
302,Rede::N,хэлсэн үг,калам
303,Sprache::N,хэл,мацӏ
304,Stimme::N,дуу,гьаракь
305,Wort::N,үг,рагӏи
306,Zeichen::N,тамга,ишара
307,Zeichen::N,тамга,гӏаламат
308,Zeichen::N,тэмдэг,ишара
309,Zeichen::N,тэмдэг,гӏаламат
310,Ruf::N,дуудлага,ахӏи
311,Lärm::N,шуугиан,хъуй
312,Lärm::N,шуугиан,хъуди
313,Lärm::N,чимээ,хъуй
314,Lärm::N,чимээ,хъуди
315,Laut::N,анир,гьаракь
316,Laut::N,анир,сас
317,Laut::N,дуу,гьаракь
318,Laut::N,дуу,сас
319,Ton::N,авиа,
320,Ton::N,аялгуу,
321,Lied::N,дуу,кечӏ
322,Ruhe::N,энх,рахӏат
323,Ruhe::N,тайван,рахӏат
324,Leute::N,хүмүүс,гӏадамал
325,Volk::N,улс,халкъ
326,Arbeit::N,ажил,хӏалтӏи
327,Arbeit::N,хөдөлмөр,хӏалтӏи
328,Gast::N,зочин,гьобол
329,Gast::N,айлчин,гьобол
330,Geschenk::N,бэлэг,сайигъат
331,Spiel::N,наадам,хӏай
332,Spiel::N,наадам,расанди
333,Spiel::N,тоглоом,хӏай
334,Spiel::N,тоглоом,расанди
335,Gesellschaft::N,хамт байх,жамагӏат
336,Hilfe::N,тусламж,кумек
337,Freund::N,найз,гьудул
338,Freund::N,нөхөр,гьудул
339,Kamerad::N,хань,гьалмагъ
340,Kamerad::N,нөхөр,гьалмагъ
341,Angelegenheit::N,хэрэг,къваригӏел
342,Anzahl::N,тоо,рикӏкӏен
343,Art::N,төрөл,жинс
344,Art::N,янз,жинс
345,Stück::N,хэсэг,кесек
346,Teil::N,хувь,пай
347,Teil::N,хэсэг,пай
348,Hälfte::N,хагас,бащдаб
349,Kreis::N,тойрог,гор
350,Kreis::N,хүрээ,гор
351,Kreuz::N,загалмай,хъанч
352,Linie::N,шугам,мухъ
353,Strich::N,зураас,хӏучч
354,Abstand::N,зай,манзил
355,Entfernung::N,зай,манзил
356,Entfernung::N,хол ойр,манзил
357,Gegend::N,хавь,рахъ
358,Gegend::N,газар,рахъ
359,Platz::N,зай,бакӏ
360,Platz::N,завсар,бакӏ
361,Ort::N,газар,бакӏ
362,Ort::N,байр,бакӏ
363,Seite::N,тал,рахъ
364,Seite::N,этгээд,рахъ
365,Mitte::N,төв,бакьулъбакӏ
366,Mitte::N,дунд,бакьулъбакӏ
367,Gegenstand::N,юм,жо
368,Sache::N,үйл,жо
369,Sache::N,хэрэг,жо
370,Rand::N,зах,мицӏир
371,Rand::N,хөвөө,мицӏир
372,Kante::N,ирмэг,рагӏал
373,Kante::N,ирмэг,рагӏа-ракьан
374,Ecke::N,өнцөг,цили
375,Spitze::N,үзүүр,тӏогь
376,Ende::N,зах,кӏал
377,Ende::N,үзүүр,кӏал
378,Loch::N,цоорхой,каратӏ
379,Loch::N,онгорхой,каратӏ
380,Winkel::N,өнцөг,
381,Muster::N,хээ,накъиш
382,Muster::N,угалз,накъиш
383,Größe::N,хэмжээ,кӏодо́лъи
384,Länge::N,урт,халалъи
385,Höhe::N,өндөр,борхалъи
386,Gewicht::N,жин,бакӏлъи
387,Menge::N,тоо,
388,Haufen::N,бөөн,гъуни
389,Reihe::N,эгнээ,ирга́
390,Boot::N,завь,раса
391,Ruder::N,сэлүүр,раххан
392,Schlitten::N,чарга,чанагъ
393,Ski::N,цана,лыжаби
394,Lagerfeuer::N,түүдэг,цӏа
395,Last::N,ачаа,бакӏлъи
396,Gang::N,явдал,хьвади
397,Gang::N,явдал,хьвада-чӏвади
398,Schritt::N,алхам,гали
399,Norden::N,умар,шимал
400,Süden::N,урд,юг
401,Süden::N,урд,къибла
402,Süden::N,өмнө,юг
403,Süden::N,өмнө,къибла
404,Westen::N,өрнө,гъарб
405,Westen::N,өрнө,магъриб
406,Westen::N,баруун,гъарб
407,Westen::N,баруун,магъриб
408,Osten::N,зүүн,шаркъ
