,Concept_ID,cv,fa
634,Schuld::N,айӑп,تقصیر
635,Alter::N,ҫул шучӗ,سن
636,Alter::N,ҫул шучӗ,عمر
637,Schluss::N,пӗтни,انتها
638,Schluss::N,пӗтмӗш,انتها
639,Zeit::N,вӑхӑт,وقت
640,Zeit::N,вӑхӑт,زمان
641,Tag::N,кун,روز
642,Morgen::N,ир,صبح
643,Mittag::N,кӑнтӑрла,ظهر
644,Abend::N,каҫ,شب
645,Abend::N,каҫ,عصر
646,Nacht::N,каҫ,شب
647,Woche::N,эрне,هفته
648,Monat::N,уйӑх,ماه
649,Jahr::N,ҫулталӑк,سال
650,Frühling::N,ҫур,بهار
651,Frühling::N,ҫуркунне,بهار
652,Sommer::N,ҫу,تابستان
653,Sommer::N,ҫулла,تابستان
654,Herbst::N,кӗр,پاییز
655,Herbst::N,кӗркунне,پاییز
656,Winter::N,хӗл,زمستان
657,Winter::N,хӗлле,زمستان
658,Januar::N,январь,ژانویه
659,Februar::N,февраль,فوریه
660,Februar::N,кӗҫӗн кӑрлач,فوریه
661,März::N,март,مارس
662,März::N,пуш уйӑхӗ,مارس
663,April::N,апрель,آوریل
664,Mai::N,май,مه
665,Juni::N,июнь,ژوئن
666,Juli::N,июль,ژویه
667,August::N,август,اوت
668,September::N,сентябрь,سپتامبر
669,September::N,авӑн уйӑхӗ,سپتامبر
670,Oktober::N,октябрь,اکتبر
671,November::N,ноябрь,نوامبر
672,Dezember::N,раштав,دسامبر
673,Dezember::N,декабрь,دسامبر
674,Montag::N,тунти кун,دو‌شنبه
675,Dienstag::N,ытлари кун,سه‌شنبه
676,Mittwoch::N,юн кун,چهار‌شنبه
677,Donnerstag::N,кӗҫнерни кун,پنج شنبه
678,Freitag::N,эрне кун,جمعه
679,Samstag::N,шӑмат кун,شنبه
680,Sonntag::N,вырсарни кун,یکشنبه
681,groß::A,пысӑк,بزرگ
682,klein::A,пӗчӗк,کوچک
683,lang::A,вӑрӑм,بلند
684,kurz::A,кӗске,کوتاه
685,breit::A,сарлака,پهن
686,schmal::A,ансӑр,تنگ
687,schmal::A,ансӑр,نازک
688,dicht::A,йӑвӑ,چگال
689,dicht::A,йӑвӑ,انبوه
690,dick[Gegenstand]::A,хулӑн,ضخیم
691,dünn::A,ҫинҫе,نازک
692,dünn::A,ҫӳхе,نازک
693,fein::A,тарай,ریز
694,fein::A,тарай,باریک
695,fein::A,вӗлтӗрти,ریز
696,fein::A,вӗлтӗрти,باریک
697,fest::A,тӗреклӗ,محکم
698,flach::A,лаптак,صاف
699,flach::A,лаптак,مسطح
700,glatt::A,такӑр,لیز
701,hart::A,хытӑ,سفت
702,weich::A,ҫемҫе,نرم
703,weich::A,ҫемҫе,ملایم
704,rund::A,ҫавра,گرد
705,spitz::A,шӗвӗр,تیز
706,spitz::A,шӗвӗр,نوک‌تیز
707,scharf::A,ҫивӗч,تیز
708,scharf::A,ҫивӗч,برنده
709,stumpf::A,мӑка,کند
710,stumpf::A,пуклак,کند
711,stumpf::A,тӗрӗнчӗк,کند
712,stumpf::A,ӑнкарусӑр,کند
