,Concept_ID,ga,no
132,Berg::N,sliabh,fjell
133,Gipfel::N,barr,topp
134,Gipfel::N,mullach,topp
135,Höhle::N,uaimh,hule
136,Höhle::N,pluais,hule
137,Abhang::N,fána,li
138,Abhang::N,fána,skråning
139,Quelle::N,foinse,kilde
140,Bach::N,sruthán,bekk
141,Fluss::N,abhainn,elv
142,Ufer::N,bruach,bredd
143,Küste::N,cósta,kyst
144,Küste::N,cladach,kyst
145,Festland::N,míntír,fastland
146,Meer::N,muir,hav
147,Meer::N,farraige,hav
148,Bucht::N,bá,bukt
149,Bucht::N,cuan,bukt
150,Insel::N,inis,øy
151,Insel::N,oileán,øy
152,Blume::N,bláth,blomst
153,Gras::N,féar,gress
154,Wurzel::N,rúta,rot
155,Wurzel::N,fréamh,rot
156,Baum::N,crann,tre
157,Stamm::N,stoc,stamme
158,Stamm::N,tamhan,stamme
159,Rinde::N,coirt,bark
160,Rinde::N,craiceann,bark
161,Ast::N,géag,gren
162,Zweig::N,géag,kvist
163,Zweig::N,craobh,kvist
164,Blatt::N,duille,blad
165,Blatt::N,duilleog,blad
166,Birke::N,beith,bjørk
167,Birke::N,crann beithe,bjørk
168,Kiefer[Baum]::N,péine,furu
169,Weide[Baum]::N,saileach,selje
170,Weide[Baum]::N,saileach,piletre
171,Tanne::N,giúis,gran
172,Horn::N,adharc,horn
173,Feder::N,cleite,fjær
174,Fell::N,clúmh,skinn
175,Flügel::N,eite,vinge
176,Flügel::N,sciathán,vinge
