,Concept_ID,vep,es
651,voll::A,täuz',lleno
652,leer::A,joudai,vacío
653,offen::A,avoin,abierto
654,offen::A,avol'jaine,abierto
655,geschlossen::A,saubaline,cerrado
656,sauber::A,puhtaz,limpio
657,schmutzig::A,redukaz,sucio
658,roh::A,rohk,crudo
659,roh::A,toreh,crudo
660,reif::A,küps,maduro
661,lecker::A,magukaz,rico
662,lecker::A,magukaz,sabroso
663,süß::A,maged,dulce
664,bitter::A,karged,amargo
665,sauer::A,muiged,agrio
666,hell::A,kirkas,claro
667,hell::A,valgei,claro
668,dunkel::A,pimed,oscuro
669,schwarz::A,must,negro
670,weiß::A,vauged,blanco
671,rot::A,rusked,rojo
672,gelb::A,pakuine,amarillo
673,blau::A,sinine,azul
674,grün::A,vihand,verde
675,grau::A,hahk,gris
676,bunt::A,kirjav,multicolor
677,billig::A,odav,barato
678,teuer::A,kalliž,caro
679,wertvoll::A,arvokas,valioso
680,wertvoll::A,arvokas,precioso
681,blind::A,soged,ciego
682,taub::A,kurdiž,sordo
683,kräftig::A,vägev,fuerte
684,stark::A,vahv,fuerte
685,stark::A,vahv,vigoroso
686,stark::A,vägekaz,fuerte
687,stark::A,vägekaz,vigoroso
688,schwach::A,väll',débil
689,fett::A,razvakaz,obeso
690,schlank::A,kapos,esbelto
691,hübsch::A,čoma,mono
692,hübsch::A,čoma,guapo
693,böse::A,äred,malo
694,böse::A,käred,malo
695,dumm::A,el'getoi,tonto
696,dumm::A,el'getoi,estúpido
697,faul::A,lašk,vago
698,faul::A,lašk,perezoso
699,fleißig::A,radonnavedii,aplicado
700,fleißig::A,radonnavedii,diligente
701,geizig::A,ažlak,avaro
702,klug::A,melev,sensato
703,klug::A,melev,inteligente
704,klug::A,melekaz,sensato
705,klug::A,melekaz,inteligente
706,geschickt::A,mahtokaz,hábil
707,lieb::A,izo,querido
708,lieb::A,sula,querido
709,lustig::A,ilokaz,alegre
710,sanft::A,laskav,suave
711,hungrig::A,näl'ghine,hambriento
712,krank::A,läžui,enfermo
