,Concept_ID,fi,uk
746,danach::ADV,sen jälkeen,згодом
747,vorher::ADV,ennen,раніше
748,zuerst::ADV,ensin,спершу
749,zuerst::ADV,ensin,спочатку
750,zuerst::ADV,ensiksi,спершу
751,zuerst::ADV,ensiksi,спочатку
752,einmal::ADV,kerran,один раз
753,manchmal::ADV,joskus,іноді
754,manchmal::ADV,joskus,інколи
755,oft::ADV,usein,часто
756,immer::ADV,aina,завжди
757,niemals::ADV,ei koskaan,ніколи
758,hier::ADV,tässä,тут
759,hier::ADV,täällä,тут
760,hierhin::ADV,tähän,сюди
761,von hier::ADV,tästä,звідси
762,von hier::ADV,täältä,звідси
763,dort::ADV,siinä,там
764,dort::ADV,siellä,там
765,dorthin::ADV,sinne,туди
766,dorthin::ADV,tuonne,туди
767,geradeaus::ADV,suoraan,прямо
768,vorwärts::ADV,eteenpäin,вперед
769,rückwärts::ADV,taaksepäin,назад
770,zurück::ADV,takaisin,назад
771,unten::ADV,alhaalla,внизу
772,hinab::ADV,alas,вниз
773,oben::ADV,ylhäällä,вгорі
774,hinauf::ADV,ylös,вгору
775,überall::ADV,kaikkialla,скрізь
776,nicht::ADV,ei,не
777,ein wenig::ADV,vähän,трохи
778,ein wenig::ADV,vähän,небагато
779,kaum::ADV,tuskin,ледве
780,sehr::ADV,kovin,дуже
781,sehr::ADV,oikein,дуже
782,so::ADV,näin,так
783,noch::ADV,vielä,ще
784,nur::ADV,vain,лише
785,nur::ADV,vain,тільки
786,nur::ADV,ainoastaan,лише
787,nur::ADV,ainoastaan,тільки
788,schon::ADV,jo,вже
789,wieder::ADV,taas,знову
790,wieder::ADV,jälleen,знову
791,vergebens::ADV,turhaan,дарма
792,vor::PRP,edessä,перед
793,hinter::PRP,takana,ззаду
794,hinter::PRP,takana,позаду
795,unter::PRP,alla,під
796,durch::PRP,läpi,крізь
797,durch::PRP,kautta,крізь
798,neben::PRP,vieressä,біля
799,zwischen::PRP,välillä,між
800,wegen::PRP,takia,з-за
801,wegen::PRP,takia,через
802,wegen::PRP,vuoksi,з-за
803,wegen::PRP,vuoksi,через
804,dies::PRN,tämä,це
805,das::PRN,se,то
806,alles::PRN,kaikki,все
807,ich::PRN,minä,я
808,du::PRN,sinä,ти
809,er::PRN,hän,він
810,wir::PRN,me,ми
811,ihr::PRN,te,ви
812,sie::PRN,he,вони
813,was::FPRN,mikä,що
814,wer::FPRN,ken,хто
815,wer::FPRN,kuka,хто
816,wo::FADV,missä,де
817,wohin::FADV,mihin,куди
818,wie::FADV,miten,як
819,wie::FADV,kuinka,як
820,warum::FADV,miksi,чому
821,wieviel::FNUM,paljonko,скільки
