,Concept_ID,udm,cs
783,rückwärts::ADV,берлань,zpět
784,zurück::ADV,берен,zpět
785,zurück::ADV,берен,nazpět
786,zurück::ADV,берлань,zpět
787,zurück::ADV,берлань,nazpět
788,unten::ADV,улын,dole
789,hinab::ADV,улэ,dolů
790,oben::ADV,вылын,nahoře
791,oben::ADV,вылын,navrchu
792,oben::ADV,вылӥын,nahoře
793,oben::ADV,вылӥын,navrchu
794,hinauf::ADV,вылэ,nahoru
795,hinauf::ADV,вылӥе,nahoru
796,hinauf::ADV,выллань,nahoru
797,überall::ADV,котькытын,všude
798,überall::ADV,пасьтана,všude
799,nicht::ADV,уз,ne
800,ein wenig::ADV,ичи,trochu
801,ein wenig::ADV,ӧжыт,trochu
802,ein wenig::ADV,огшап,trochu
803,kaum::ADV,муртса,sotva
804,sehr::ADV,туж,velmi
805,sehr::ADV,туж,velice
806,sehr::ADV,лекос,velmi
