,Concept_ID,be,ca
623,schmutzig::A,брудны,brut
624,roh::A,сыры,cru
625,reif::A,спелы,madur
626,lecker::A,смачны,deliciós
627,süß::A,салодкі,dolç
628,bitter::A,горкі,amarg
629,sauer::A,кіслы,agre
630,hell::A,светлы,clar
631,dunkel::A,цёмны,fosc
632,schwarz::A,чорны,negre
633,weiß::A,белы,blanc
634,rot::A,чырвоны,vermēll
635,gelb::A,жоўты,groc
636,blau::A,сіні,blau
637,grün::A,зялёны,verd
638,grau::A,шэры,gris
639,bunt::A,пяресты,multicolor
640,billig::A,танны,barat
641,teuer::A,дарагі,car
642,wertvoll::A,цэнны,preciós
643,wertvoll::A,каштоўны,preciós
644,blind::A,сляпы,cec
645,taub::A,глухі,sord
646,kräftig::A,магутны,fort
647,kräftig::A,магутны,vigorós
648,stark::A,сільны,fort
649,schwach::A,слабы,feble
650,fett::A,тлусты,gras
651,schlank::A,стройны,esvelt
652,hübsch::A,чароўны,maco
653,böse::A,злы,dolent
654,dumm::A,дурны,ximple
655,dumm::A,дурны,estúpid
656,faul::A,лянівы,gandūl
657,faul::A,лянівы,mandrós
658,fleißig::A,руплівы,diligēnt
659,geizig::A,прагны,avar
660,klug::A,разумны,intel·ligent
661,geschickt::A,умелы,hàbil
662,lieb::A,мілы,amat
663,lieb::A,мілы,estimat
664,lustig::A,вясёлы,alegre
665,sanft::A,ласкавы,suau
666,hungrig::A,галодны,afamat
667,krank::A,хворы,malālt
668,nackt::A,голы,nu
669,traurig::A,сумны,trist
670,lebendig::A,жывы,viu
671,gut::A,добры,bo
672,schlecht::A,кепскі,dolēnt
673,richtig::A,правільны,just
674,richtig::A,правільны,correcte
675,schlimm::A,агідны,greu
676,wahr::A,сапраўдны,vertader
677,wahr::A,сапраўдны,veritable
678,alt::A,стары,vell
679,neu::A,новы,nou
680,ehemalig::A,былы,antic
681,alt[Lebewesen]::A,стары,vell
682,jung::A,малады,jove
683,arm::A,бедны,pobre
684,reich::A,багаты,ric
685,bekannt::A,знаёмы,conegut
686,berühmt::A,славуты,famós
687,fremd::A,чужы,estrany
688,verschieden::A,розны,diferent
689,nah::A,блізкі,pròxim
690,fern::A,далёкі,llunyà
691,fern::A,далёкі,distant
692,linker::A,левы,esquerre
693,rechter::A,правы,dret
694,anderer::A,іншы,altre
695,anderer::A,другі,altre
696,erster::A,першы,primer
697,zweiter::A,другі,segon
698,dritter::A,трэці,tercer
699,letzter::A,апошні,últim
700,allein::ADV,сам,sol
701,allein::ADV,адзін,sol
702,auf einmal::ADV,адразу,d'una vegada
703,zusammen::ADV,разам,junt
704,lange::ADV,доўга,molt de temps
705,plötzlich::ADV,раптам,de cop
706,plötzlich::ADV,раптам,de sobte
707,sofort::ADV,зараз,de seguida
708,später::ADV,пазней,més tard
709,jetzt::ADV,цяпер,ara
710,heute::ADV,сёння,avūi
711,morgen::ADV,заўтра,demà
712,bald::ADV,хутка,aviāt
713,bald::ADV,неўзабаве,aviāt
714,dann::ADV,потым,després
715,gestern::ADV,учора,ahir
716,einst::ADV,аднойчы,anteriorment
717,damals::ADV,тады,llavōrs
718,damals::ADV,тады,aleshores
719,danach::ADV,затым,després
720,vorher::ADV,раней,abāns
721,zuerst::ADV,спярша,primer
722,zuerst::ADV,спачатку,primer
723,einmal::ADV,адзін раз,una vegada
724,manchmal::ADV,часам,de vegades
725,oft::ADV,часта,sovint
