,Concept_ID,,ko
946,sich schlagen::V,,치다
947,schießen::V,,쏘다
948,siegen::V,,이기다
949,ärgern::V,,성을내게하다
950,schlagen::V,,치다
951,treten::V,,디디다
952,stechen::V,,찌르다
953,stoßen::V,,찌르다
954,stehlen::V,,훔치다
955,stören::V,,움직이다
956,belästigen::V,,괴롭히다
957,verbergen::V,,숨기다
958,täuschen::V,,속이다
959,betrügen::V,,속이다
960,töten::V,,죽이다
961,wohnen::V,,실다
962,arbeiten::V,,일하다
963,sammeln::V,,모으다
964,pflücken::V,,꿔다
965,jagen::V,,사냥하다
966,fischen::V,,고기를잡다
967,fassen::V,,움켜쥐다
968,hüten::V,,망보다
969,treiben::V,,몰아세우다
970,anbinden::V,,묶다
971,füttern::V,,사료를주다
972,melken::V,,젖을짜다
973,hacken::V,,자르다
974,gießen::V,,물을대다
975,reifen::V,,성숙하다
976,zubereiten::V,,조제하다
977,kochen::V,,요리하다
978,backen::V,,쿱다
979,braten::V,,굽다
980,umrühren::V,,교반하다
981,stricken::V,,뜨개질하다
982,nähen::V,,꿰매다
983,färben::V,,채색하다
984,reinigen::V,,청소하다
985,waschen::V,,씻다
986,abwischen::V,,닦다
987,spülen::V,,씻다
988,fegen::V,,소체하다
989,kehren::V,,청소하다
990,baden::V,,감다
991,sich waschen::V,,모믈 씻다
992,ausziehen::V,,벗다
993,anziehen::V,,끌어움직이다
994,kämmen::V,,빗다
995,schmücken::V,,치레하다
996,sagen::V,,말하다
997,sprechen::V,,말하다
998,reden::V,,이야기하다
999,fragen::V,,질문하다
1000,bitten::V,,원하다
1001,erzählen::V,,이야기하다
