,Concept_ID,ml,kn
328,Tor::N,കവാടം,ಹೆಬ್ಬಾಗಿಲು
329,Zaun::N,വേലി,ಬೇಲಿ
330,Dach::N,മേൽക്കുര,ಮಾಳಿಗೆ
331,Leiter::N,ഏണി,ಏಣಿ
332,Besen::N,ചൂല്,ಪೊರಕೆ
333,Spaten::N,തൂമ്പ,ಗುದ್ದಲಿ
334,Schaufel::N,തൂമ്പ,ಸನಿಕೆ
335,Gabel::N,മുൾക്കത്തി,ಕವಲು
336,Löffel::N,സ്പൂൺ,ಚಮಚ
337,Messer::N,കത്തി,ಚಾಕು
338,Nagel::N,ആണി,ಆಣಿ
339,Netz::N,വല,ಬಲೆ
340,Haken::N,കൊളുത്ത്,ಕೊಂಡಿ
341,Griff::N,കൈപ്പിടി,ಹಿಡಿ
342,Schloss::N,പൂട്ട്,ವೀಗ
343,Bild::N,ചിത്രം,ಚಿತ್ರ
344,Figur::N,കണക്ക്,ಆಕಾರ
345,Puppe::N,പാവ,ಗೊಂಬೆ
346,Beutel::N,ബാഗ്,ಸಂಚಿ
347,Bündel::N,കെട്ട്,ಕಟ್ಟು
348,Tasche::N,ബാഗ്,ಚೀಲ
349,Eimer::N,ബക്കറ്റ്,ಬಾನೆ
350,Deckel::N,ഉറ,ಮುಚ್ಚಳ
351,Geschirr::N,പിഞ്ഞാണം,ಭಕ್ಷ್ಯಗಳು
352,Sack::N,ചാക്ക്,ಮೂಟೆ
353,Tasse::N,കപ്പ്,ಬಟ್ಟಲು
354,Topf::N,പാത്രം,ಮಡಕೆ
355,Kessel::N,കെറ്റ്ല്,ಕೆಟಲ್
356,Essen::N,ആഹാരസമയം,ಊಟ
357,Nahrung::N,ഭക്ഷണം,ಆಹಾರ
358,Speise::N,ഡിഷ്,ಊಟ
359,Fleisch::N,മാംസം,ಮಾಂಸ
360,Getreide::N,ചോളം,ಧಾನ್ಯ
361,Brei::N,കഞ്ഞി,ಗಂಜಿ
362,Brot::N,റോട്ടി,ರೊಟ್ಟಿ
363,Scheibe::N,തുണ്ട്,ಹೋಳು
364,Fett::N,കൊഴുപ്പ്,ಕೊಬ್ಬು
365,Butter::N,വെണ്ണ,ಬೆಣ್ಣೆ
366,Öl::N,എണ്ണ,ಎಣ್ಣೆ
367,Salz::N,ഉപ്പ്,ಉಪ್ಪು
368,Suppe::N,സൂപ്പ്,ಎಸರು
369,Honig::N,തേൻ,ಮಧು
370,Milch::N,പാൽ,ಹಾಲು
371,Tee::N,ചായ,ಚಹ
372,Leder::N,തുകൽ,ಚಕ್ಕಳ
373,Wolle::N,കമ്പിളി,ಉಣ್ಣೆ
374,Stoff::N,തുണി,ಬಟ್ಟೆ
375,Nadel::N,സൂചി,ಸೂಜಿ
376,Faden::N,നൂല്,ದಾರ
377,Knopf::N,ബട്ടൺ,ಗುಂಡು
378,Knoten::N,കുരുക്ക്,ಗಂಟು
379,Farbe::N,പെയിൻറ്,ಬಣ್ಣ
380,Kleidung::N,വസ്ത്രങ്ങൾ,ಅರಿವೆ
381,Hemd::N,ഷർട്ട്,ಅಂಗಿ
382,Kragen::N,കുപ്പായക്കഴുത്ത്,ಕುತ್ತಿಗೆಪಟ್ಟಿ
383,Ärmel::N,കുപ്പായക്കൈ,ತೋಳು
384,Hose::N,ട്രൌസർ,ಇಜಾರ
385,Gürtel::N,ബെൽറ്റ്,ಬೆಲ್ಟು
386,Mütze::N,തൊപ്പി,ಟೋಪಿ
387,Schuh::N,ഷൂ,ಪಾದರಕ್ಷೆ
388,Stiefel::N,ബൂട്ട്,ಬೂಟು
389,Ring::N,മോതിരം,ಉಂಗುರ
390,Band::N,റിബൺ,ರಿಬ್ಬನ್
391,Kamm::N,ചീപ്പ്,ಹಣಿಗೆ
392,Spiegel::N,കണ്ണാടി,ಕನ್ನಡಿ
393,Riemen::N,സ്ട്രാപ്പ്,ಬಾರು
394,Schnur::N,ചരട്,ಹುರಿ
