,Concept_ID,fr,sv
702,geschlossen::A,clos,stängd
703,geschlossen::A,fermé,stängd
704,sauber::A,net,ren
705,sauber::A,propre,ren
706,schmutzig::A,sale,snuskig
707,schmutzig::A,crasseux,snuskig
708,roh::A,cru,rå
709,roh::A,brut,rå
710,reif::A,mûr,mogen
711,lecker::A,délicieux,läcker
712,lecker::A,appétissant,läcker
713,süß::A,doux,söt
714,bitter::A,amer,besk
715,bitter::A,amer,bitter
716,sauer::A,aigre,sur
717,hell::A,clair,ljus
718,dunkel::A,sombre,mörk
719,schwarz::A,noir,svart
720,weiß::A,blanc,vit
721,rot::A,rouge,röd
722,gelb::A,jaune,gul
723,blau::A,bleu,blå
724,grün::A,vert,grön
725,grau::A,gris,grå
726,bunt::A,multicolore,brokig
727,billig::A,bon marché,billig
728,teuer::A,cher,dyr
729,wertvoll::A,précieux,värdefull
730,blind::A,aveugle,blind
731,taub::A,sourd,döv
732,kräftig::A,fort,kraftig
733,kräftig::A,vigoureux,kraftig
734,stark::A,fort,stark
735,stark::A,puissant,stark
736,schwach::A,faible,svag
737,fett::A,gras,fet
738,schlank::A,svelte,slank
739,hübsch::A,joli,snygg
740,hübsch::A,joli,vacker
741,böse::A,mauvais,ond
742,böse::A,mauvais,elak
743,dumm::A,sot,dum
744,dumm::A,bête,dum
745,faul::A,fainéant,lat
746,faul::A,paresseux,lat
747,fleißig::A,appliqué,flitig
748,geizig::A,avare,snål
749,geizig::A,avare,girig
750,klug::A,intelligent,klok
751,geschickt::A,habile,händig
752,geschickt::A,habile,skicklig
753,lieb::A,cher,kär
754,lieb::A,cher,snäll
755,lieb::A,gentil,kär
756,lieb::A,gentil,snäll
757,lustig::A,gai,rolig
758,lustig::A,gai,lustig
759,lustig::A,joyeux,rolig
760,lustig::A,joyeux,lustig
761,sanft::A,doux,mild
762,hungrig::A,affamé,hungrig
763,krank::A,malade,sjuk
764,nackt::A,nu,naken
765,traurig::A,triste,ledsen
766,traurig::A,triste,sorgsen
767,lebendig::A,vivant,levande
768,gut::A,bon,bra
769,schlecht::A,mauvais,dålig
770,richtig::A,juste,riktig
771,richtig::A,correct,riktig
772,schlimm::A,grave,illa
773,schlimm::A,mauvais,illa
774,wahr::A,vrai,sann
775,wahr::A,véritable,sann
776,alt::A,vieux,gammal
777,neu::A,neuf,ny
778,neu::A,nouveau,ny
779,ehemalig::A,ancien,forn
780,ehemalig::A,ancien,tidigare
781,alt[Lebewesen]::A,âgé,gammal
782,alt[Lebewesen]::A,vieux,gammal
783,jung::A,jeune,ung
784,arm::A,pauvre,fattig
785,reich::A,riche,rik
786,bekannt::A,connu,känd
787,berühmt::A,fameux,berömd
788,berühmt::A,célèbre,berömd
789,fremd::A,étranger,främmande
790,verschieden::A,différent,åtskillig
791,nah::A,lié,nära
792,nah::A,proche,nära
793,fern::A,éloigné,fjärran
794,fern::A,lointain,fjärran
795,linker::A,gauche,vänster
796,rechter::A,droit,höger
797,anderer::A,autre,annan
798,erster::A,premier,första
799,zweiter::A,second,andra
800,zweiter::A,deuxième,andra
801,dritter::A,troisième,tredje
802,letzter::A,dernier,sist
803,allein::ADV,seul,allena
804,auf einmal::ADV,à la fois,på en gång
805,zusammen::ADV,ensemble,tillsammans
806,lange::ADV,longtemps,länge
807,plötzlich::ADV,tout à coup,plötsligt
808,sofort::ADV,immédiatement,strax
809,sofort::ADV,immédiatement,genast
810,später::ADV,plus tard,senare
811,jetzt::ADV,maintenant,nu
812,heute::ADV,aujourd'hui,i dag
813,morgen::ADV,demain,i morgon
814,bald::ADV,bientôt,snart
815,dann::ADV,puis,då
816,dann::ADV,ensuite,då
817,gestern::ADV,hier,i går
818,einst::ADV,jadis,en gång
819,einst::ADV,autrefois,en gång
820,damals::ADV,alors,då
821,damals::ADV,alors,den gången
822,damals::ADV,à l'époque,då
823,damals::ADV,à l'époque,den gången
824,danach::ADV,après,därefter
825,danach::ADV,ensuite,därefter
826,vorher::ADV,auparavant,före
827,vorher::ADV,auparavant,förut
828,zuerst::ADV,d'abord,först
829,zuerst::ADV,premièrement,först
830,einmal::ADV,une fois,en gång
831,manchmal::ADV,parfois,ibland
832,manchmal::ADV,quelquefois,ibland
833,oft::ADV,souvent,ofta
834,immer::ADV,toujours,alltid
835,niemals::ADV,ne ... jamais,aldrig
836,hier::ADV,ici,här
837,hierhin::ADV,par ici,hit
838,von hier::ADV,d'ici,härifrån
839,dort::ADV,là,där
840,dort::ADV,là-bas,där
841,dorthin::ADV,y,dit
842,dorthin::ADV,par là,dit
843,geradeaus::ADV,tout droit,rätt fram
844,vorwärts::ADV,en avant,fram
845,vorwärts::ADV,en avant,framåt
846,rückwärts::ADV,en arrière,baklänges
847,zurück::ADV,de retour,tillbaka
848,unten::ADV,en bas,nere
849,unten::ADV,en bas,nedanför
850,unten::ADV,au-dessous,nere
851,unten::ADV,au-dessous,nedanför
